text,label
harap megang kelas bawah,-
masalah bangga kot kena cat called ngan mat salleh ingat ktorg lupa,-
join tambah syiling biar mampos jahanam dua ekor tu,-
ngiwo koe nengen lungo ojo kangen,-
hati kecewa sedih sorang je tahu tahu,-
cemburu marah mu bosan jelas kebenarannyaabar sikap kadang melelahka,-
salah ckp,-
penat korang nampak main asa suka hati judge org,-
tu letih jgok nk delete bendo tulo ni dio automatic post,-
nasib johor and stay perak study lis that s why i m not single,-
gemas allah wkwkwk order tgl 10 kirim ownernya sempet tlp sih barang kosong ra,-
bahagia bahagia celah,-
ni mesti jenis layan ni dah layan lelaki ni lepas tu layan lelaki pulak lepas tu play victim kata in r,-
ka suka bilang empet empet ngelarang ngelarang jdi alesannya,-
ni salah je mata takde satu baik harga terima kasih,-
percaya kata tanya percayaemua bebas,-
perempuan leher tu aurat kisah pakai turban serban lantak parents t,-
yakin sama2 cinta nkri cinta presiden nkri sah,-
jantan alfa amp induk bunuh leher bayi ikat hewan pelihara beli amp pelihara anak,-
lahir jogja jogja juluk kota hati nyaman pantes langsung pake hati nyaman dikit,-
do tanya tanya faedah ajar tiup recorder masa sekolah rendah,-
maaf salah,-
confuse jual kt malaysia ni asik tunjuk kaya je jual show off tunjuk kaya then,-
sungguh jaga je henti berpura2 jaga paksa perl,-
rasa kebas asa marah sedih kecewa dirasain olah rasa baik,-
space memori lelaki kosong perlu ingat benda bodo pakai 6 tahun lepas salah 3 tahun lepas mak,-
faham betul lelaki suka perempuan pakai makeup,-
faham betul jenis malaysia ret sangkut balik hose tu geli bodoh pegang,-
perempuan sampah perempuan tu,-
bodo betul hibur bodo member ceni,-
tolong hari tu tidur tanya self reflect perangai babi sampah ye harini,-
diam je terus kena label ni sombongebenarnya sombong just malu and at the same time jaga adab,-
dengar kata menang keluar suara sakit benar now i feel that,-
ken ngmg penggal kalimat jun ucapin ff ayo tengkar gasuka liat rukun,-
benar takyah ciri bagus biar gelap kerja cukup makan dah sayang,-
curi feedback semata2 attract cust tu cara bisnes jatuh bangun ni mental kena kuat,-
halang,-
malam hundred percent takde moodampai shuben peluk then sayang ni marah marah abang a,-
guna amik lesen driveupportla anak ni sikittttt hem,-
tydack percaya,-
tengok kerja automatik bodoh,-
kira introvert nyata karna nga punya uang males,-
ingat gagal tadbir negara elok je salah bn tanding penting parti pon salah bn,-
nuduh selingkuh habis putus kayak aziz gagap lucu garing,-
sorry bro perempuan tu kelam kelibut takut awak baru ingat plug ir,-
oleng nder,-
sayang maaf egois ken balik yuk putus,-
sungguh jaga je henti berpura2 jaga paksa perl,-
dlm hati ngedumel kesel liat calon2 tentara ngerti budaya antri ken bilang mas,-
nasib malang,-
argh sembang penat dah ajak busy koyak,-
kadang rasa sakit je lantar hospitalebab tengok peduli datang tengok family,-
gipewei sedih nih seokjin fllw rep pict seokjin tag klo doain gpp gpp,-
mu maaf disgusting bruntusan wajah bopeng noda hitam bagus pakai a,-
marahin tu koooo kompor,-
j macem macem bakal ngawasin,-
faham betul lelaki suka perempuan pakai makeup,-
bodo limit sensi undang dateng ditungguin pokok dateng belakang ju,-
if you guys call no ni then kata salah masuk topup percaya this one scammer try hard cari s,-
sungguh jaga je henti berpura2 jaga paksa perl,-
anak smk suka kesel sih ejek otak cetek anak sma kadang adatuh anak sma sok die,-
kelas jack ma males mati kantor,-
dah sakit hati muka tu malas tengok,-
duh rem,-
see sapa bullshit,-
ambyar,-
nk cakap rasa bodoh time math yew,-
pantang tengok mak pak bodo n bodo anak misbehave kat public,-
sorry mmg turn off betul perempuan pegi clubbing niebab pergi bayang sempit sem,-
ibu ngomong males punya anak males dalem hat,-
ih engga jabar maksud,-
assalam lelaki ingat jalan jauhelekoh belok2 rujuk maps even pergiekali je,-
bodola emma murung harini,-
kangen nih retweet say,-
lahir bumi ni jaga hati pihakampai hati barai kesah hmm,-
shit susah sial muka cina dtg kat and just shoot me up with mandarin dayum boi,-
satu je dah fed up mmg fed up tu kisah sapa 2,-
hah tuh cari tempat enak kebon belakang rumah pak rw jelas digrebek,-
minta ais batu je anjir,-
engga stalk,-
takada masa susah,-
kaya untung give away hmm,-
kawan kawan hisap rokok tu sayang korang henti ye guys kena,-
nggak butuh alesan bicara nyaman,-
kuat hantu kat rumah ni,-
lantan but sometimes muak jugak tweet ni be more specific mention tu better ca,-
jauh jatuh pelaminanhujan,-
suami nasihat forward gambar ni isteri baru forward,-
nampak reaction muka please tegur takut murung hari,-
ni feminism ape cume pelik lelaki tegur perempuan still dorng punye jaga ki,-
bodo mah tik wkwkwk,-
when u so fuckin bored with u re life pgn ndlosor ndlosor,-
korban rela korban asa tapiemua arti mata,-
nyindir yha anggep temen tuh dikit gatau dewasa circ,-
bodo betul hibur bodo member ceni,-
suka kaler ni pakai dah dah buruk,-
hehe takut pingsan tibatiba g,-
do tanya tanya faedah ajar tiup recorder masa sekolah rendah,-
sungguh jaga je henti berpura2 jaga paksa perl,-
salah satu thread susah semak kepala betul pause,-
me everytime my bf tell me that i m pretty sih woy najis bilang cantik gt ak,-
ex bukak wallet amek duit pastu muka comel baby amek sikit eaaaa,-
perkara takut sengaja luka hati,-
roommate hasut ajak makan malas turun cafe,-
hidup tolong datang malas,-
nggak baik baik kangen,-
sedih cerita dr patient huhu makcik nie masuk ward heart attack baik sngt suka tegur senyu,-
adik ni spesis mulut manis gf mulut cam gampang geram,-
kawan bilang orng islam makan bpk haram dengn santai jawab suka alkohol,-
abis dusta sih,-
murung betul laa jalan asyik pijak kain je ni omg sis tinggi pls,-
manusia suka dengki something happy so kacau okay,-
weh malu kt rnr gambang salah masuk kereta tu bini tengah gendong anak,-
nin nun dengerin curhatan emak sibuk pacar terus,-
enggan lepas hati satu goda hati kemaruk manusia,-
malu beda suka ngaku cerita2,-
teh ken usia segitu ngga gimana,-
do tanya tanya faedah ajar tiup recorder masa sekolah rendah,-
besar perkara pendam kongsi orango pelik dah kuat semb,-
ingat baiiiik ubah arisal ajar dingin,-
crush tegur ye tegur suka cakap suka dok tengok je story missebb,-
hahahaha pastu buat2 kejut dah tumbokk muka kang,-
sungguh jaga je henti berpura2 jaga paksa perl,-
kl jahat tuh coba pikir jahat ngecewain baik jahat,-
cikgu punca suka nama uh,-
kemaren bunda cerita kucing kaki dua potong karna nyuri makan restoran allah ngetik mata panas,-
rumah tiba2 ngasih kue pas umur 15thn pdhl tahun chtn kabar2an tiba2 dateng,-
amin ustazah pening kepala me takpelah awak tulis je awak laratampai masa suruh hantar buku tara,-
ngagetin asli kesel masa the nun gigi emas kalah,-
member dah kahwin crush jumpa,-
jokowi sdh damping khma tetap tuduh pki jangan2 khma jg sdh fitnah,-
her miss taman safari jauh yo pasuruan males nganterno andrew kesana taman safari undang ru,-
dah give up ratus tahun,-
salah mulu tuhh,-
faham betul jenis malaysia ret sangkut balik hose tu geli bodoh pegang,-
first impression niumpah ingat sombong gila cakap sombong p,-
sayang inget,-
salah,-
penat bukak twitter skrg gaduh pasal lgbtemua nk undang2 lelaki perempuan gaduh pasal,-
kayak nonton langsung pengsan,-
alalalaaaaa baru nk tunjuk kat adik video ngokngek koya luk tu u u,-
ingkar kata hati,-
weh murung umur hidup,-
taknak ws ibu or kakngah murah je ayaq mata ni lagumana ka,-
masak kepala2 negara kecam jokowi dpn umum iri,-
ingat mula mula awal tertawa akhir menang,-
sih tuh,-
sa pr lupa ngerjain pak hukum gimana layan hati bapak gigitkeset botsesat,-
bodola emma murung harini,-
hari cerita sentuh bunuh teman facebook buka kisahnyaemoga,-
dimensi ruang waktu arti na,-
ambyar kthku astaga,-
ni mesti jenis layan ni dah layan lelaki ni lepas tu layan lelaki pulak lepas tu play victim kata in relationshi,-
masa tunggu sakit sayang harap tu satu luah faham,-
sungguh jaga je henti berpura2 jaga paksa perl,-
tanya takut kepedesan nanyanya trus toxic ntar nitip dah,-
dah malas kecik hati benda remeh temeh ni,-
tf charlie dah gigit bawah mata salah sih,-
duh maaf baru on,-
jenis reply chat cepat mampus tu lepas jam baru reply and terima de,-
hati kecewa sedih sorang je tahu tahu,-
ken nang liat,-
kurus kering ni cukup makan tahu struggle gila tambah berat badan t,-
suka bohongin kaya gin biar cowok yankk,-
weh malu kt rnr gambang salah masuk kereta tu bini tengah gendong anak,-
emoh megang kelas,-
tunggu diam krn berani bicara takut bicara jauh,-
senarnye takut pegi mana2 sorg jerr huhu,-
dorang dah freeze malas dah parents,-
takde gf takpe imaginary gf also can lepastu gila sekian,-
suka bilang biar jauhin,-
maafin sempurna,-
waktu mikirnya gapapa jelek item dekil buluk gede cakep sampe 13928174,-
ingat mula mula awal tertawa akhir menang,-
sibuk doang engga gabut solo,-
engkau rokok hembus kat public batuk pastu cakap respect as amoker cakap acah2 batuk nmpk mcm,-
sedih tengok lelaki kena curang haih,-
tatap diam2 harap diam2 perhati diam2 jauh berani bilang hehehe,-
kisah cinta kayak novel cuman kek buku tulis sidu kosong tulis practice mak,-
sungguh jaga je henti berpura2 jaga paksa perl,-
jawab bilang gamau gausah hargain peduli k,-
susah nmpk skrang ni ea,-
jijikkk jijiiikkk,-
rindu utuh,-
juang utk tangis hilang utk,-
mangai rasa mahal bayar ni,-
rindu waktu malas malas,-
scam sia suruh ajak pubg malam,-
acah acah happy je kawan life sunyi sepi tinggal cengkerik je bunyi,-
iphone mahal rasa ikut market price and purchasing power negara guna ringgit malaysia rendah,-
petang dok lepak2 pantai lepas tu peras dua awek dok tonggeng2o decide utk datang depa tanya a,-
rana letak bawa anarkis atas meja duduk sofa lirik kiri ka,-
daerah coba ngehargain sembar,-
sangka ramai doa diam,-
belakang upaya degradasi islam kuat besar yangemua mulut sebut kasih klu minoritas,-
bodo betul hibur bodo member ceni,-
dijadiin bumbu dapur,-
ingat ndak nyadar manfaat batas ndak enak an nglunjak begit,-
harap makan janji manis org dah lepas ni cukup,-
lucu do cafe asal dik mearawak k cafe org me kuching k cafe ohhh org bandar,-
misi letak jawat menteri mp this is exactly the problem you re supposed to serve all mala,-
nggak baik baik kangen,-
bodo mmg kumpul denda gila sem ni sah kmjp daftar awal kad matrik hilang dah nk 10,-
anggap rp bakal bikin neng bahagia rl dunia gabisa tinggal gaada abadi,-
adik makan marugamen udon mager af gojek mahal af yaudah berat hati keluar kosan sad,-
convo petrus cewe cewe jawab mundur,-
abai tu kira ok put so much effort ok but layan,-
diam makna akur diam tunggu,-
bodola emma murung harini,-
hancur habis hati,-
gamau watch drama,-
sorry wehebabusahkan suka kawan cakap ni kawan tolong tu dah tan,-
dah tgk episode 4 stress sbb diorg asyik keluar hasil gambar model tu cantik p,-
tanya kentang non kyut mendem rasa deket takut ndak not,-
hari gin percaya mitos terima um helow mah pu,-
admin hoseok nyetir tetephock hoseok nyetir mpn btsarmy https,-
24 tahun hidup baru tahu ni rupa idioms siap ikut jenis hidup laut pulak tu,-
iyain kasi cantik,-
ajarin bahagia,-
nilah utama taknak balik ni,-
bodoh asheeq ali ni ukm kena saman duit bayar saman tu guna duit students mampus,-
hmm taktahu takut fobia tengok kena cakar muka kena isi takut,-
ketemu kata siapah,-
dah cepat move on ni rasa benda pergi mampus,-
kentut kaki busuk mampus datang langsung,-
alas cliche dengar mulut wanita dah sakit hati awak sanggup,-
suami nasihat forward gambar ni isteri baru forward,-
20thn ken nikah umur 23 sm gin gin gin 23thn blm nglamar 24thn,-
btw kemaren cuco abis jkt kehabisa tiket huhu,-
selesai amanah percaya dapet amanah besar nurist,-
loner tengok benda ni,-
harap kecoa loh kecewa maksud,-
gantung karna bayang tinggal gelap,-
hari hati hancur lebur dek rana sikap anak anak kanto samun dobi layan ibu l,-
kek ikut level up album onok,-
hidup timpa kali kali uji salah takdir cuba check balik daya hidu,-
jauh barat sungai jembatan baik muter,-
emg gimana cerita tp dikata2in,-
pasya claim tok makan still kurus keding babi juak lom rasa post gamba gemok,-
sumpah suka rasa second choice best tunggu dah and still,-
mas ganteng ngetik email imel mending balik jaman kompeni bantu voc dagang rempah rempah,-
family lakon acah suci smpai family suka sgt kat belakang family tuhan je tahu,-
nder kmrn2 gt kelingking kaki tuh parah bgt sampe ngelupas darah pdhl gapernah,-
beli sesuai suka kucing,-
kisah miskin,-
aq,-
uhh favorit tuh suruh bahagia nglupain sedih,-
dah hancur percaya cuba bahagia keliling putus asa sahaja,-
haa dengkurrrr lembap sel sel otak ni hubung astaghfirullahalazim,-
dua batas alam semesta bodoh manusia yakin alam semesta,-
sorry,-
dah hancur percaya cuba bahagia keliling putus asa sahaja,-
pulang barang je tu susah gila balas ws perangai,-
pacar harga turun turunin tuh,-
diam je terus kena label ni sombongebenarnya sombong just malu and at the same time jaga adab,-
rupa gagal patah terus juang,-
c sikit,-
bebas cibir menjelek2kan perintah nungging2 muntah2 gilir perintah beri hak rakyat untu,-
mati awal squad kakakakaka nyata lemah,-
allah serba salah,-
sabah kasitau pulau selamat biar dorang culik betul betul abu sayap,-
smlm menang teruk rana mimpi kutuk hina keji khianat kejam hadap direjam dlm,-
pikir flirting salah flirting sumber masalah,-
faham suka still pasal,-
ew,-
boyfriend straight as je weh me crushing on good grades is hurtful,-
kembali ruang rusuk rapat alir darah pekat engkau rumah,-
aaa bgt gaberenti2 ngomong seru huu kecuali gelut korban terus,-
kadang tampan cantik sosial media asli ketemu masa mengabaik,-
masjid bahas bahaya narkoba tika langsung,-
rasa dosa seronok hujan lebat tengahari jumaat ni,-
salah ngeklik mv ost 100 days my prince dinyanyiin mbak gummy abis tahan nama gum,-
manada bohong emang tua,-
asa bodo harini lupa park kereta kat mrt pastu selamba je naik grab dah tengah jalan jerit,-
teruk ni kerja mcd kena reject,-
diam je terus kena label ni sombongebenarnya sombong just malu and at the same time jaga adab,-
lol respect make sure do the same,-
ampun harap ganti gantiii,-
kurang cukup satu,-
tunjuk pilih tarung fairy tail buah salah natsu dragneel fairytail,-
gerak angin tiup d kampung hitem warnanyaaa,-
fakap betul pergi makan ramai2 happy2 tetibe badmood woiiii makan je woiii,-
shalat jumat berkali2 jelek,-
wow ni teruk ni rasa sakit kacang lupa kulit haa gituu,-
rlt lahkrg ginian allah ygelalu akuebut doa 2 teman asik nonton oppa a,-
misal kondisi dmn bnran galauin km trus km ngetweet galau seolah2 org babi nama,-
mas malam jumat loh yakin kesini,-
fast lena do fast learner,-
kadang henti peduli benci sadar peduli katabijak,-
tuhan moga jauh manusia setia suka curang amin,-
kmk amelia prob mmg takleh settle soal mcm bangsat,-
titik air mata bayang betapa terseksa kucing betina bunting tu mati lecur mesin dryer kedai dobi taman,-
ingat hari jum at lupa,-
punya tahap confident lvl tu en tahap tulis benda simple in english google translate nampak,-
berani main twitter kangen kaksur,-
jawab ngebayangin baper,-
dijelasin parfum kamar kos bau cewek nemu samping kasur ayok jelasin h,-
koleksi wallpaperuperman tambah meh ler tambah,-
pamit tidur cek ig dm ijo ijonya,-
ishhh sengaja pengaruh haihh tajuk lagu,-
cerita takut kucing mah tu biji tp kucing tu tetibe lompat manjat tu rasa satu taman molek dengar jerit,-
mintak maafebab dah penat jaga hati sikit jaga hati balik,-
nggak baik baik kangen,-
mak pesan salah rugi layan baik kat dah sakit hati,-
sedih rasa kadang kadang doa doa makbul hamba baik allah pe,-
hati main pikir hati susu real good dinyot nyot dikenyot enak,-
agak2 macamni kat asrama selit2 sampah makan kat celah katil r,-
sori minat jual nyawa setan setan pegang tanduk,-
enak tanggung tinggal jawab,-
kecewa jugak ingat dah tidur reply whatsapp tiba tiba tengok ig pulak reply dm,-
instagram facebok twitter cantik takde cantik bagitahu akuekarangiapa je upl,-
asa bodo harini lupa park kereta kat mrt pastu selamba je naik grab dah tengah jalan jerit,-
wehhhhh allahu sakitnyaaaaa,-
masa kecik kecik ikut mak masuk fikir ni laaa,-
sorry wehebabusahkan suka kawan cakap ni kawan tolong tu dah tan,-
klu mati anak mati syahid mati mati sbg cinta suami org penganggu hidup org,-
turun ngambil kepleset tangga,-
mama bbl siak member smpai tidur tk paham bahasa suspect topic boring,-
kk cecil makan richeese level pedesnya satu saus keju gamau makan moga beli richeese ngajak,-
babang bikin gagal fokus ahhh link download blued apk android ios buka,-
halo bs dm jg maki2 kek kampang ni kurang ajar laporin pih,-
mung fikir - weh jenis tu setan,-
gilak malam mimpiin super junior ngga mimpiin blackpink momoland sih,-
sungguh jaga je henti berpura2 jaga paksa perl,-
perempuan ni hari bangang,-
ikan sapu sapu ikan mas cepu tindas,-
yakin sama2 cinta nkri cinta presiden nkri sah mamp,-
ma manba biar serah staff anak2 grup tuh hype bgt,-
samaama akhir jg bingung liat sementionan teel,-
tahu ni cengeng cuba cakap asyik nang je cara luah sedih mujur t,-
rindu bagitahu ni whatsapp fungsi baik jarang bluetick kat lai,-
taktahulah sakit arwah nenek lahir 15 anak lahir sorang dah seksa,-
ape kt layan gin,-
ngeremehin,-
kuliah malu sih,-
kurus kering ni cukup makan tahu struggle gila tambah berat badan t,-
heh kira bencong,-
stress dah ni main ml asyik menang kalah menang kalah khawin pon naik ii,-
terkadang kenang buruk sedih kenang indah tahu ulang kem jokamlicious,-
huh gw liat jauh j army neng pas handshake event saing dikit lol pinter,-
pinned chat kat ws dok atas ws dua hari lepas read read dp ws dah 3 4 kali tengok ubah ubah em ok laa,-
akhir mimpi,-
sentuh v,-
juang perjuangin coba noleh belakang gaada sih perjuangin xixixi,-
tengah deal hati kalah sayang,-
dah tegur cukup ubah asal dah lepas tanggungjawabkan,-
gaisss maaf gemok bodoh sungguh manusia laku silap,-
kadang2 rasa paksa takde pilih stay taknak nampak kejam pergi,-
mb emang bangsad maaf,-
mesti sakit cucuk,-
hidup sahabat baik bayang dunia sahabat baik erzacarlet,-
ajak main game kedaan hp org kene rampas ni jadah haih,-
dah hancur percaya cuba bahagia keliling putus asa sahaja,-
cemburu nikmat ahli maksiat,-
syok post dlm acc pulak postkan acc,-
harap kat kucing ni kekal neraka hidup perangai teruk binatang,-
gaketemu sih ngelepas kang liat mulus,-
thread anjing at first ingat masalah mah ni cakap pasal insecurity masalah psycho rupa rupa,-
kampus tuntut ilmu ketemu wong2 podo takon yoweslah,-
adik kalah fifa salah fifa,-
anjing,-
maybe now u won but its okay sentiasa ats just do wht ever u want u guys mintak benci korg,-
math paper 1 menang,-
heh iri ambis tu sumpah ngantukan sekos nih sama2 anak fk,-
kata bigbang banding banding kata kata the nex,-
ajak,-
faham betul jenis malaysia ret sangkut balik hose tu geli bodoh pegang,-
kangen jalan,-
kisah sedih minggu,-
daerah coba ngehargain sembar,-
ngorat sorang laki ni pastu rejected mampus tanak ngorat dahhhhh,-
turn off betul argue someone and that someone start personal attack or screenshot bio lmao tu,-
lupa sholat jumat sayang jelek sayang biar ganteng ih wajib oh kirain makas,-
iyaa serah serah,-
then mase tade mood tu ternampak post pasal kucing dobi geram,-
nyesek rasa tega,-
kena duduk drama queen ni urghhhh,-
rasa jual maruah lepas beli iphone xs ni,-
benci anggap enteng tugas beri gildarts,-
nyebelin sengaja sebell huft,-
suka heran rp chanyeol tl sampe puyeng,-
pp bingung nembak cewe gimana ngelamar hmmm mensive tp bingung ngasih hadiah apaa hiiiii,-
tlg please bg perempuan tu baca malu wei malu ria cerita kat kwan n skli dengar n,-
so im back to single life after being dumbed by my ex gf laki guys not all men are trash sia,-
kata penat when benar tengah rasa sedih,-
besar perkara pendam kongsi orango pelik dah kuat semb,-
relaa kutuk bayi gendong minongeriusaan,-
faham betul lelaki suka perempuan pakai makeup,-
kiro api ro tok jebul ro kabeh tiwas gr,-
khas suami curang isteri ret appreciate isteri kaki betina betapa besar korban seorg ibu,-
bareng chanu bacot mt limit mentab suspend loh molor bentar,-
takde gf takpe imaginary gf also can lepastu gila sekian,-
terima luka,-
uke cute uke lelaki lagipula suka,-
alas cliche dengar mulut wanita dah sakit hati awak sanggup,-
hari asa kacau berantakanean alam responnya,-
ngode nyuruh tipe yun dah bikin notif org2 penuh,-
cerita ni mamat ni hari2 nampak keluar masuk cimb ceria ja hari ni tengok muka masam p,-
merepak indah asa nk ketok jak palak perintah,-
dah sakit hati muka tu malas tengok,-
punya punya hati setia bot,-
perlu ingat sekal ikut prinsip bucaeillism iaitu kait temu saintifik,-
keluar beliin tempe atm cabe bawang uang,-
perbetulakn dah hancur tu mustahil dendam terima lupa,-
gatau skrg,-
penat seyh,-
bestfriends always known me well cerita tgh sedih tiba tiba hantar lagu ni s,-
pinter2 gmna kek nyerah bgt dah da,-
tahu sakit hati minta maafebab sesal tu rindu,-
susah sayang susah move onemua perlu masa dah sayang sayang gila,-
tanya mcm ni senang maaf susah lupa,-
karna crazy rich balikpapan,-
perempuan belah jabat hea fakulti urus niaga tolong bau mulutendir,-
mbok ngutip pilm nasionalis kek misal tuh bingung nyenengin,-
rindu tu,-
dah dah post pasal kucing kena seksa tu rasa nang rumah dah 10 ekor bela dah mcm,-
bingung akun bot jahat,-
ngasih makan nih un,-
sumpah okay,-
ucap janji tepat jangankatakan cinta jikatak tulus hati akhir newsindravanthoni,-
hindar hahhaha,-
huhu sedih nyemangatin eheheaat berus,-
waw tidur gimana cakar kucing kagak asa bangun2 uda perih ajah,-
hati kecewa sedih sorang je tahu tahu,-
aahshshahaha tgh mrh pihak tk bertanggungjawab,-
perlu kot video call tu video call tatap juling payah contact,-
astagfirullah maaf ketawa,-
sebelas duabelas jelas lepas,-
sure rasa kot taktahu,-
sedih tunggu cantik mcm artis minat cmne baru pandang,-
agresif nder,-
sial,-
benci uh kerje gan tkleh tolak ansur kerja gan bangsa kadang nk brehenti kerje,-
stress sjskjsksjsksjsjsks,-
rse mcm ni,-
idm aloha a r m y mutualan yuk no mulfan yah idn 1,-
lawa hm tahu hidup ni asyik banding banding takk,-
sumpah suka rasa second choice best tunggu dah and still,-
yaudah oppa,-
kasihan umat bodoh mental rusak ajar agama benareba,-
asa bodo harini lupa park kereta kat mrt pastu selamba je naik grab dah tengah jalan jerit,-
junior junior diam babi tengah focus jawab soal trial sibuk pekak pastu tepi kela,-
tu perempuan kena jaga jaga muka malaikat kadang2 perangai syaitan jugak camni lari laju teruk,-
turn off lelaki pergi clubbing hshshshshshsh,-
nmpak gf pling cantik dah start kerja ni tuhan ramai cantik dri gf trash htt,-
betul dah hancur tu mustahil dendam terima lupa,-
certain girls only wants you when she is in trouble dah senang lupa ignores you lots of excuses actively in con,-
kesi lelaki,-
huum ajaa beeb kudu akhir mulai beee b,-
cakap tolong tutup aurat lelaki ni malu tengok lelaki ing,-
dah utk sayang ni takpela suka ttbe tegur ttbe nk marah,-
gatau ih creditnya,-
ni baru je langgan data baru dah slow jugak niiiiiiii adoiiii,-
malu pro,-
tlg please bg perempuan tu baca malu wei malu ria cerita kat kwan n skli dengar n,-
kata penat when benar tengah rasa sedih,-
nampak pasang mesra shell gila patut mesra kat petronas,-
balas dendam,-
kangennnnnnnn,-
senyumin semuanyaa ampe gel,-
titik air mata bayang betapa terseksa kucing betina bunting tu mati lecur mesin dryer kedai dobi taman,-
chilli level 100 waktu makan dah mula fikir harta wasiat pedas sambal baw,-
sedih first time ni customer request camni,-
me lepas tolong buka pintu cakap thanks,-
baw,-
mah wktu doyan mainin asap rokok klo ngerokok asap tangkep2in kyak org bego smpe kena marah,-
dok tengok je online malas cakap kena balik,-
kata gabut bosan dasar,-
sorry bro perempuan tu kelam kelibut takut awak baru ingat plug ir,-
tengok harga iphone baru nampaknya cinta 8plus sahaja bodoh,-
ikut gamau tinggal,-
ganteng wangi parfum botol cute malu asik ngebosenin ngetik,-
kek depresi ngerjain codingan pagi ampe malem pas keluar kamar dibilangin tidoor mulu kamar ht,-
asa bodo harini lupa park kereta kat mrt pastu selamba je naik grab dah tengah jalan jerit,-
mesti ckp kat mak bdn sakit sakit tdr atas lantai,-
can t relate jelata,-
sungguh jaga je henti berpura2 jaga paksa perl,-
baru peras punya kurang ajar masuk rumah maybe hati tengah panas kot,-
sekolah payah cinta spm dah nnti masuk u ramai pilih u payah kejar cinta tu kej,-
halah malas,-
allah jantung drop kejap tengok gambar ni,-
ahhh sombong,-
kemarin2 males nonton yah soel drama high rating agak2 percaya cer,-
tengah baru nggak bikin nyaman introvert rasa pengin cepet pulang,-
kuliah siang ngerasa kesel naha sih lantas salah teh mud,-
sedih tu ken beli buku mojok duit segera cukup,-
sedih rasa kadang kadang doa doa makbul hamba baik allah pe,-
libat twitwar,-
penat bukak twitter skrg gaduh pasal lgbtemua nk undang2 lelaki perempuan gaduh pasal,-
awal percaya so klako,-
menang,-
gaada isengin terus galaque kaya gin,-
coba temen temenmu suara tawa kenceng percaya jg jerit hati pa,-
nyata tipu,-
benda rasa perlu bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities contoh gagap pas,-
hari ketemu kangen,-
yey phone dh elok mujur tk gi tmpt 3 tu fuh tk layang duit,-
gua taklek ea junior tarik tangan omg ingat jumpa sesape,-
halo haters sadar benci rasa hidup tarik hidup benci,-
space memori lelaki kosong perlu ingat benda bodo pakai 6 tahun lepas salah 3 tahun lepas mak,-
faham betul jenis malaysia ret sangkut balik hose tu geli bodoh pegang,-
punya anak ikut sok ceramah propaganda soal anti vaksin let me tell you one thing go,-
taktaulah hg tuju dekatapa but after read it i m crying rindu tu sakit takleh luah bcs thing i,-
cinta tinggal kering air mata tahu baik,-
iyaa tikung aaaa,-
bodo limit sensi undang dateng ditungguin pokok dateng belakang gapapa ak,-
mikirin nun pusing,-
perkara takut sengaja luka hati,-
anggap ngei hue ommaaaaaaa,-
mulfan sakit hati baca nyudutin fandom,-
allah berat duga beri pade mak lepas satu2 duga dye trpkse hadap,-
hiiiiiiih rindu,-
maaf salah,-
ngerti twitnya,-
percaya balik kata ikhlas air mata bendung woy,-
liat sisi buruk wkkwkw,-
faham betul,-
minta dikasarin beybi,-
hahahahaha faham weh,-
benda bodoh sayang sayang kat,-
and lastly mak fed up dah sarap dah lapar cari geledah je almari tengok makan,-
tiba sedih tawa perih cerita kenang guru rindu menja,-
kecewa jugak ingat dah tidur reply whatsapp tiba tiba tengok ig pulak reply dm,-
soya jahat kot,-
kesi tengok lge ni hehe tabah compare prestasi 10 may 2018 1 january sa,-
jap jap rasa benda ni salah dlm relationship salah lelaki perempuan ni mak,-
tega an maymunah,-
henti keluh henti peduli hubung henti cinta,-
ni mmg tinggi tk jdi halang rupa halang,-
gapapa lumayan asa pentas tabok quq a ken mager transportnya heh,-
malu tuh,-
suka panas datang pagi pagi usui takumi,-
dah curang satu lepastu salah laki tu pulak ey geram pulak,-
mintak maafebab dah penat jaga hati sikit jaga hati balik,-
abah tinggal cancer lidah amp of course rokokiksa tahan sakit tengok nang goodl,-
diam arti marah rasa amarah skalipun tatsuya,-
yakiin gabakalan menang bcs pandai rangkai kata2,-
tlg please bg perempuan tu baca malu wei malu ria cerita kat kwan n skli dengar n,-
menang,-
tengah hadap depression libat hampa ka ni takkantop kacau life siaa,-
f you guys call no ni then kata salah masuk topup percaya this one scammer try hard cari s,-
kata penat when benar tengah rasa sedih,-
pujuk hati kecewa benar perlu masa hati kecewa rasa no one really cares tida,-
mu gi nuru malas doh keje,-
suka datang then suka hati je blah ni sedut pakai vacuum,-
punya ponsel kadang tetap sepi lho rasa mari chan,-
mesti,-
gambar parah tegur tetangga kecuali tegur sulit mulai cakap,-
dah dah bosan layan pi mati tidur bye,-
suka tunjuk prestasi usaha men,-
engkau rokok hembus kat public batuk pastu cakap respect as amoker cakap acah2 batuk nmpk mcm,-
besar perkara pendam kongsi orango pelik dah kuat semb,-
pulang rumah jauh bolak balik nti capek,-
lepas kamuadarlah batu,-
malam satu hari murung dengar lagu ni,-
baik takut rusak,-
rasa ubah ni haih,-
lantan but sometimes muak jugak tweet ni be more specific mention tu better ca,-
rasa ds kat bodoh pergi cut masuk hotel tangkap gambar bilik toilet fuck korang pe,-
emang slow respon sih kudu sabar pis ak blanja 2x,-
